onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.01535039700002	5	attend	neutral	87	n/a	n/a	1	1.0154	5	att_neut	n/a
7.00643951699976	3	rate	n/a	n/a	98	2.1273219020004	1	7.0064	3	rating_par	-0.7333
15.0055006389998	5	attend	negative	71	n/a	n/a	2	15.0055	5	att_neg	n/a
21.0131374950001	3	rate	n/a	n/a	103	1.10959632999993	2	21.0131	3	rating_par	1.2667
29.012463129	5	attend	negative	77	n/a	n/a	3	29.0125	5	att_neg	n/a
36.01588649	3	rate	n/a	n/a	114	0.636435907999839	3	36.0159	3	rating_par	2.2667
41.0113047929999	5	suppress	negative	15	n/a	n/a	4	41.0113	5	suppr_neg	n/a
48.0146902890001	3	rate	n/a	n/a	98	0.773327289999997	4	48.0147	3	rating_par	-0.7333
53.0099501999998	5	suppress	negative	5	n/a	n/a	5	53.01	5	suppr_neg	n/a
61.0090197300001	3	rate	n/a	n/a	121	1.09837458499987	5	61.009	3	rating_par	0.2667
69.008257558	5	attend	negative	64	n/a	n/a	6	69.0083	5	att_neg	n/a
76.0117694179999	3	rate	n/a	n/a	121	0.958035377000215	6	76.0118	3	rating_par	0.2667
83.015162104	5	suppress	negative	3	n/a	n/a	7	83.0152	5	suppr_neg	n/a
89.0062916759998	3	rate	n/a	n/a	98	1.09349600099995	7	89.0063	3	rating_par	-0.7333
100.009299477	5	attend	neutral	97	n/a	n/a	8	100.0093	5	att_neut	n/a
106.016916194	3	rate	n/a	n/a	98	0.416786926999976	8	106.0169	3	rating_par	-0.7333
111.012236873	5	attend	neutral	93	n/a	n/a	9	111.0122	5	att_neut	n/a
117.003319747	3	rate	n/a	n/a	98	1.1211450120004	9	117.0033	3	rating_par	-0.7333
121.003063923	5	suppress	negative	19	n/a	n/a	10	121.0031	5	suppr_neg	n/a
127.010598529	3	rate	n/a	n/a	121	1.4472069049998	10	127.0106	3	rating_par	0.2667
139.009382946	5	attend	negative	68	n/a	n/a	11	139.0094	5	att_neg	n/a
146.012873631	3	rate	n/a	n/a	121	0.380718701000205	11	146.0129	3	rating_par	0.2667
150.012322735	5	attend	neutral	90	n/a	n/a	12	150.0123	5	att_neut	n/a
157.015823207	3	rate	n/a	n/a	98	0.658323548000226	12	157.0158	3	rating_par	-0.7333
163.00692101	5	suppress	negative	2	n/a	n/a	13	163.0069	5	suppr_neg	n/a
171.006088485	3	rate	n/a	n/a	98	1.14987469900007	13	171.0061	3	rating_par	-0.7333
176.001321033	5	attend	neutral	84	n/a	n/a	14	176.0013	5	att_neut	n/a
183.004849335	3	rate	n/a	n/a	98	0.655692737999743	14	183.0048	3	rating_par	-0.7333
188.016865397	5	attend	neutral	100	n/a	n/a	15	188.0169	5	att_neut	n/a
196.015930002	3	rate	n/a	n/a	98	0.56438213399997	15	196.0159	3	rating_par	-0.7333
201.011330779	5	attend	negative	65	n/a	n/a	16	201.0113	5	att_neg	n/a
208.014675903	3	rate	n/a	n/a	121	1.80423844899997	16	208.0147	3	rating_par	0.2667
212.014295004	5	attend	neutral	83	n/a	n/a	17	212.0143	5	att_neut	n/a
219.001098108	3	rate	n/a	n/a	98	0.584343870999874	17	219.0011	3	rating_par	-0.7333
225.008823061	5	attend	negative	69	n/a	n/a	18	225.0088	5	att_neg	n/a
233.007981922	3	rate	n/a	n/a	103	0.482973593999759	18	233.008	3	rating_par	1.2667
240.011348097	5	attend	neutral	92	n/a	n/a	19	240.0113	5	att_neut	n/a
247.014709424	3	rate	n/a	n/a	98	1.00658515299983	19	247.0147	3	rating_par	-0.7333
252.010140051	5	suppress	negative	10	n/a	n/a	20	252.0101	5	suppr_neg	n/a
259.013516377	3	rate	n/a	n/a	121	1.22041032399966	20	259.0135	3	rating_par	0.2667
263.013060535	5	attend	negative	75	n/a	n/a	21	263.0131	5	att_neg	n/a
270.016675267	3	rate	n/a	n/a	103	1.26878952400011	21	270.0167	3	rating_par	1.2667
276.007626378	5	attend	negative	70	n/a	n/a	22	276.0076	5	att_neg	n/a
285.002656223	3	rate	n/a	n/a	114	0.535438375000012	22	285.0027	3	rating_par	2.2667
292.005989809	5	attend	neutral	95	n/a	n/a	23	292.006	5	att_neut	n/a
301.000958171	3	rate	n/a	n/a	98	0.69970881900008	23	301.001	3	rating_par	-0.7333
307.008673387	5	suppress	negative	14	n/a	n/a	24	307.0087	5	suppr_neg	n/a
314.01210796	3	rate	n/a	n/a	103	0.262156973999936	24	314.0121	3	rating_par	1.2667
319.007389119	5	suppress	negative	16	n/a	n/a	25	319.0074	5	suppr_neg	n/a
325.015142394	3	rate	n/a	n/a	121	0.722091269999964	25	325.0151	3	rating_par	0.2667
332.001849366	5	suppress	negative	1	n/a	n/a	26	332.0018	5	suppr_neg	n/a
